Bedrijfsnaam,Categorie / Type,Website,Email,Alle Emails,Telefoon,Adres,Stad,Vacatures,Functietitels,Vacature Links,Status,Beoordeling,Beoordeling Reden,Signalen,Sector,Land,Score,Omschrijving,Unieke ID,Gevonden Op
Werken bij Vitam,horeca,https://www.werkenbijvitam.nl/,vacature@vitam.nl,vacature@vitam.nl,073-544 21 20,,,Ja,Vacatures zoeken | Alle vacatures,https://www.werkenbijvitam.nl/vacatures/,verrijkt,,,,horeca,Nederland,70,Weet je al waar je naar op zoek bent? Een baan op kantoor? Of liever in het restaurant of de keuken? En wil je fulltime of parttime werken? Gebruik de,werken-bij-vitam,2026-05-10T14:18:11.471Z
Werken bij Plukon,horeca,https://werkenbijplukon.nl/contact/,recruitment@plukon.nl,"recruitment@plukon.nl, info@plukon.nl",025-11-30 09,,,Ja,Wat ga jij doen? | Wat ga jij doen als HSE Manager? | Ga naar de inhoud | Home,https://werkenbijplukon.nl/vacatures/,verrijkt,,,,horeca,Nederland,78,"Laat ons weten hoe we jou kunnen helpen, bij Plukon staan we je graag te woord! Wat de reden ook is, jij telt. Neem contact met ons op.",werken-bij-plukon,2026-05-10T14:18:11.471Z
9.000+ vacatures voor Restaurant en werk: 7 mei 2026,horeca,https://nl.indeed.com/Restaurant-vacatures,vacatures@onilio.nl,vacatures@onilio.nl,0201278913,,,Ja,,https://nl.indeed.com/jobs?q=Restaurant&limit=15&start=15,verrijkt,,,,horeca,Nederland,78,"Restaurant vacatures. Kok, Horecamedewerker, Medewerker Bediening en meer op Indeed.com",9-000-vacatures-voor-restaurant-en-werk-7-mei-2026,2026-05-10T14:18:11.471Z
Werken bij ABC,horeca,https://www.werkenbijabc.nl/,,,,,,Nee,,https://www.werkenbijabc.nl/vacatures/,nieuw,,,,horeca,Nederland,35,,werken-bij-abc,2026-05-10T14:18:11.471Z
Hutten,horeca,https://www.werkenbijhai.nl/hutten,,,,,,Ja,Kaartweergave | Restaurant manager bij 't Boshuys | F&B Manager bij Asics | Medewerker Customer Support (tijdelijke functie) | Horecamedewerker (Nachtdienst) Ahold LDC Geldermalsen | Bijbaan in de zorg Smaakchef | Koken in de zorg (Utrecht) | Koken in de Zorg (Smaakchef) – Nijmegen & Arnhem | Horecamedewerker - ETC Almelo | Junior Impact Analist - Hai,https://www.werkenbijhai.nl/vacatures,nieuw,,,,horeca,Nederland,54,,hutten,2026-05-10T14:18:11.471Z
Horeca-job,horeca,https://horeca-job.nl/,info@horeca-job.nl,"info@horeca-job.nl, sales@horeca-job.nl, pz@schoonmaakoverijssel.com, personeelzaken@nieuwerkerk.valk.nl, pz@schoonmaakoverijssel.comje",055 8000 800,,,Ja,,,verrijkt,,,,horeca,Nederland,75,Alle horeca vacatures in een overzicht. Horeca-job.nl is hét startpunt voor een baan in de horeca. Ook in de buurt. Solliciteer direct!,horeca-job,2026-05-10T14:18:11.471Z
Werken bij | Tweede Kamer der Staten-Generaal,horeca,https://werkenbij.tweedekamer.nl/vakgebieden/horeca,stafdiensthr@tweedekamer.nl,stafdiensthr@tweedekamer.nl,0491775661,,,Ja,"Adviseur Veiligheid, BHV & Crisismanagement | Zelfstandig werkend kok | Medewerker Algemene Dienst | Staat jouw functie er niet bij? | Blijf op de hoogte | Inhoudelijk medewerker Griffie Plenair/Bureau Wetgeving | Technicus | Informatiespecialist commissie Volkshuisvesting en Ruimtelijke Ordening | Bezoekadres | Tweede Kamer",https://werkenbij.tweedekamer.nl/vacatures,verrijkt,,,,horeca,Nederland,53,"Waar belangrijke beslissingen voor ons land worden genomen, is goede horeca natuurlijk onmisbaar. Wij voorzien 150 Kamerleden, collega’s, journalisten en bezoekers van een goede service en een warme s",werken-bij-tweede-kamer-der-staten-generaal,2026-05-10T14:18:11.471Z
Restaurant 't Pakhuus,horeca,https://www.pakhuus.nl/over-ons/werken-bij-ons/vacature-kok,info@pakhuus.nl,"info@pakhuus.nl, boy@pakhuus.com",0613065673,,,Ja,,,verrijkt,,,,horeca,Nederland,56,"Gasten komen bij ons voor een unieke fine dining beleving van à-la-carte tot 7-gangen surprise menu's voor zowel lunch als diner. En jij kunt nu bijdragen aan deze beleving. Voor ons hechte, kleine ke",restaurant-t-pakhuus,2026-05-10T14:18:11.471Z
Vacature Kok: Vind Jouw Droomjob in de Culinaire Wereld Vacatures,horeca,https://nederlandvacature.nl/vacature/voor/kok/58/,werkvinden@nederlandvacaturegroep.nl,"werkvinden@nederlandvacaturegroep.nl, info@nederlandvacaturegroep.nl",0411 689 538,,,Ja,,https://nederlandvacature.nl/wie-zijn-wij/team/,verrijkt,,,,horeca,Nederland,70,Ontdek top vacatures voor koks bij diverse werkgevers! Groei in je culinaire carrière en breng jouw passie voor koken tot leven. Solliciteer nu!,vacature-kok-vind-jouw-droomjob-in-de-culinaire-wereld-vacatures,2026-05-10T14:18:11.471Z
WerkinMeierijstad.nl,horeca,https://werkinmeierijstad.nl/bedrijven/appl,info@werkinmeierijstad.nl,"info@werkinmeierijstad.nl, info@werkinmeierijstad.nlontdek, 024info@werkinmeierijstad.nl, rossum0737074198lvrossum@appel.nldoe, lvrossum@appel.nl",0737074198,,,Ja,Altijd op de hoogte blijven van vacatures in de regio? | Medewerker afmontage bedden/productiemedewerker | Monteur Technische Dienst | Timmerman woningfabriek | Werkvoorbereider woningbouw (prefab houtbouw) | Uitvoerder modulaire houtbouw | Sales Support Medewerker | HR Manager | Rioolinspecteur | Werkvoorbereider / CAD-tekenaar,https://werkinmeierijstad.nl/vacatures,verrijkt,,,,horeca,Nederland,90,Werken bij cateringbedrijf Appèl? Bekijk vacatures in de horeca op WerkinBoxtel.nl!,werkinmeierijstad-nl,2026-05-10T14:18:11.471Z
KHN,horeca,https://www.khn.nl/werkenbij,info@khn.nl,"info@khn.nl, info@khn.nl.bezoekadres, j.vankleef@khn.nl, backoffice@khn.nl.vereniging, onsinfo@khn.nlvoor",0348-48-94-89,,,Ja,,,verrijkt,,,,horeca,Nederland,30,Afwisselende en uitdagende functies in een prettige werkomgeving met uitstekende primaire en secundaire arbeidsvoorwaarden. Bekijk onze vacatures.,khn,2026-05-10T14:18:11.471Z
Restaurant Ruig,horeca,https://restaurant-ruig.nl/werken-bij/,info@restaurant-ruig.nl,info@restaurant-ruig.nl,00061-1024,Handelskamerstraat 23521 HDUtrecht,,Nee,Stuur ons je CV bij interesse! | Restaurant Ruig | Bezoek ook eens onze andere restaurants | Reserveren,https://restaurant-ruig.nl/werken-bij/,verrijkt,,,,horeca,Nederland,35,,restaurant-ruig-handelskamerstraat-23521-hdutrecht,2026-05-10T14:18:11.471Z
Catering vanIvan,horeca,https://vanivan.nl/vacatures/,catering@vanivan.nl,"catering@vanivan.nl, catering@vanivan.nlverhuurbarkruk",06-57338237,"Ons adres:Catering vanIvan Meulenveldt 6a, 5451 HV MILL Telefoonnr: 06-57338237 E-mail: catering@vanivan.nl",MILL Telefoonnr,Ja,Je gegevens,https://vanivan.nl/vacatures/,verrijkt,,,,horeca,Nederland,53,"Een verzorgde BBQ met mooi gegarneerde salades incl gratis gebruik van barbecue, borden en servies vanaf € 14,95. Gratis bezorging en wij doen de afwas.Word jij onze nieuwe kok? Geen late diensten, wé",catering-vanivan-ons-adres-catering-vanivan-meulenveldt-6a-5451-hv-mill-telefoonnr-06-57338237-e-mail-catering-vanivan-nl,2026-05-10T14:18:11.471Z
Werken bij Appel,horeca,https://www.werkenbijappel.nl/,vacature@appel.nl,vacature@appel.nl,,Appèl B.V. Mammoet 2 5236 NV 's-Hertogenbosch vacature@appel.nl +31 (0) 73 707 41 29,,Ja,Home | Cateringmanager in Zwolle | Assistent cateringmanager in Utrecht | Cateringmanager in Utrecht | Automatenoperator in Vlissingen | Cateringbeheerder bij de Gemeente Middelburg | Cateringmedewerker in Vlissingen | Horecamanager onderwijs regio Tilburg | Cateringmedewerker onderwijs in Zwolle | Regio cateringmedewerker Utrecht - Amersfoort,https://www.werkenbijappel.nl/vacatures/,verrijkt,,,,horeca,Nederland,63,"Kom werken bij Appèl: als cateringmedewerker, locatiebeheerder, manager of een functie op het servicekantoor. Wij heten je graag welkom!",werken-bij-appel-appel-b-v-mammoet-2-5236-nv-s-hertogenbosch-vacature-appel-nl-31-0-73-707-41-29,2026-05-10T14:18:11.471Z
B&G Catering,horeca,https://www.bengcatering.nl/over-bg-catering/werken-bij-bg/,info@bengcatering.nl,info@bengcatering.nl,0318-45 33 88,,,Ja,Berry | Kiki | Demi | Anouk | Joël | Chris | Kimberley | Bart | Wilma | Colinda,https://www.bengcatering.nl/over-bg-catering/team/,verrijkt,,,,horeca,Nederland,53,Vind je horeca en met eten bezig zijn super leuk? Bekijk dan snel onze vacatures; reageer en kom op gesprek!,b-g-catering,2026-05-10T14:18:11.471Z
