Bedrijfsnaam,Website,Email,Telefoon,Adres,Sector,Land,ERP Score,Logistiek Score,Complexiteit Score,B2B Score,Groei Score,Email Geldig,Email Score,Email Reden,Omschrijving,Gevonden Op
Maak kennis met onze professionele schoonmaakrobots,https://www.groveko.nl/,,077 39 5517,Advies nodig van onze experts? phone 0318 - 63 21 85 mail [email protected] Bereikbaar van 8:00 tot 17:00,Groothandel Schoonmaak,Nederland,100,30,25,25,20,Nee,0,no_email_found,Groveko is de schoonmaakgroothandel voor innovatie en duurzaamheid in de schoonmaak. Samen lossen we jouw schoonmaakvraagstukken op!,2026-02-25T11:21:20.986Z
schoonmaakmagazijn,https://www.schoonmaakmagazijn.nl/,contact@schoonmaakmagazijn.nl,00735079 1,,Groothandel Schoonmaak,Nederland,50,30,18,2,0,Ja,70,generic_address,"Bestel snel en veilig schoonmaak materialen, middelen, hygiënepapier en machines bij schoonmaakmagazijn.nl - de schoonmaak groothandel ✓ Levering binnen 2 werkdagen ✓ gratis verzenden vanaf € 40 ✓ Per",2026-02-25T11:21:21.841Z
Hazet,https://hazet.igefa.nl/,info@hazet.igefa.nl,088-1501500,,Groothandel Schoonmaak,Nederland,85,30,25,10,20,Ja,70,generic_address,"Groothandel schoonmaakartikelen: Hazet is totaalleverancier op het gebied van o.a. schoonmaakmiddelen, -materialen en -machines en meer.",2026-02-25T11:21:22.360Z
Kroonint,https://kroonint.nl/,info@kroonint.nlkom,0023000000,,Groothandel Schoonmaak,Nederland,87,30,18,25,14,Nee,20,dns_lookup_failed,"Ontdek de uitgebreide collectie van Kroonint, uw toonaangevende leverancier van professionele schoonmaakproducten en coatings. Van hoogwaardige coatings tot effectieve reinigingsmiddelen, wij bieden i",2026-02-25T11:21:22.628Z
/schoonmaakgroothandel,https://schoonmaakgroothandelemmen.nl/,info@schoonmaakgroothandelemmen.nl,085-8769393,,Groothandel Schoonmaak,Nederland,63,30,0,25,8,Ja,70,generic_address,"Professionele schoonmaakproducten, Unger glasreiniging, hygiëne en reinigingsmachines bij Schoonmaakgroothandel Emmen. Snelle levering in Nederland en België. ",2026-02-25T11:21:23.234Z
Groen Clean Produkten B.V.,https://groenclean.nl/,info@groenclean.nl,070 440 0441,,Groothandel Schoonmaak,Nederland,66,30,18,10,8,Ja,70,generic_address,,2026-02-25T11:21:24.420Z
Clean2day Schoonmaakartikelen B.V.,https://www.clean2day.nl/,nederlandinfo@clean2day.nl,026-02-17 15,,Groothandel Schoonmaak,Nederland,81,30,25,18,8,Ja,85,mx_verified,,2026-02-25T11:21:25.455Z
Schoonmaakgroothandel 100% Willem,https://ikbestelbijwillem.nl/,500info@100procentwillem.nlmaandag,035-6228500,,Groothandel Schoonmaak,Nederland,87,30,18,25,14,Nee,20,dns_lookup_failed,"Professionele schoonmaakmiddelen en -materialen voor schoonmaakbedrijven en bedrijven. Groot assortiment, scherpe prijzen en snelle levering in Nederland en België.",2026-02-25T11:21:26.434Z
"CSU - Scherper, Slimmer, Schoner",https://www.csu.nl/kennisbank/schoonmaakproces/groothandel-schoonmaakartikelen/,info@csu.nl,026-01-29 08,,Groothandel Schoonmaak,Nederland,84,21,18,25,20,Ja,70,generic_address,Op zoek naar een groothandel met schoonmaakartikelen? Wij adviseren je graag met onze expertise. Vraag nu een offerte aan.,2026-02-25T11:21:30.718Z
Jaap Breman Schoonmaakgroothandel | Totaalleverancier voor professioneel schoonmaken,https://jaapbreman.nl/,info@jaapbreman.nl,+31582572244,,Groothandel Schoonmaak,Nederland,51,0,18,25,8,Ja,70,generic_address,,2026-02-25T11:21:31.870Z
